word,Anxious,Depressed,Happy,Introvert,Stable,bio_frequency,km_half_life_days,lognormal_half_life_days,lognormal_mu,lognormal_sigma,prev1,prev2,unique_users
environmental,38.97060199933334,45.02267590007003,58.68064633697895,82.72166550750258,65.29675070857746,943.0,756.0,749.27,6.619103,1.970523,7.529943597198913,9.084339034682126,777.0
environmentalist,50.45378534882469,58.704146388404425,49.98618493809308,75.46411102888273,52.36057449739281,308.0,355.0,342.07,5.835009,2.144295,3.614894933144019,3.52027851386741,261.0
environmentally,33.23877085571761,40.40451331070216,65.49514843027754,88.31392842266446,69.28075005102382,49.0,1204.0,1291.25,7.163365,1.79772,0.3523543797649405,0.3652386096065525,49.0
environments,34.55111054256527,28.988009034834185,87.60176561623494,87.80969337330731,85.88237484867324,110.0,542.0,522.08,6.257817,1.742325,0.9004611927326257,0.738248253460053,103.0
envision,37.90048182296088,29.42017747599494,77.29766001270708,84.72293070820555,81.14797719856166,67.0,609.0,614.85,6.421384,2.693219,0.3132038931243915,0.2486730959023336,65.0
envy,46.68401165949879,47.2113025651898,39.00577399625533,42.03214307093348,47.95330285519947,175.0,87.0,128.28,4.85424,2.352246,1.083163463721854,1.1578841027952411,162.0
eo,47.12695257235818,45.74599171170785,72.04110957487592,65.37315247384063,83.46805537224643,59.0,205.0,171.08,5.142151,2.253452,0.2349029198432936,0.2875282671370732,46.0
ep,42.0340504123393,41.42727104374661,60.435415694537134,30.553559028188733,57.66686989461379,2434.0,171.0,158.18,5.063762,1.523289,10.805534312791508,8.641390082606094,1819.0
epa,16.562194739397505,28.114539294924544,68.10078257225645,70.44321133739524,59.96960216138862,35.0,427.0,582.38,6.367122,2.026156,0.169652108775712,0.2875282671370732,32.0
eph,33.88362516764572,29.95948158248371,73.05868735686806,58.59500610881819,73.33917439276775,60.0,569.0,430.85,6.065762,2.70119,0.665558272889332,0.4429489520760318,55.0
ephemera,43.58043503750705,51.71447295518705,65.11915832211012,86.97794106295132,43.25141358228532,71.0,267.0,261.14,5.56507,2.347627,0.4306553530460383,0.2797572328901253,53.0
