Word,Happy,Stable,Introvert,Anxious,Depressed
api,0.8566360104151656,0.8633592592773933,0.27152478168388194,0.6186171090361581,0.7955373179223515
eco,0.5725965716042711,0.586856920237995,0.5009011280077325,0.9688958624215402,0.9212484346945062
ᶠ,0.7387614287994868,0.9806267837470932,0.8620643396464314,0.6009787758863392,0.7285930695528833
powerhouse,0.7068793560323721,0.6642776679308884,0.9586689828631139,0.9940173282327363,0.9346767097977371
trades,0.8613767485130612,0.9876615230553969,0.4342487046740784,0.6521401413592482,0.9915566698203522
hitting,0.6648305819410001,0.5687545677004207,0.7311567359557847,0.40436579182356214,0.3895354926868251
thumbs,0.8635113644659731,0.9821456633063526,0.9255176109271932,0.9949868487682749,0.8981209957592637
14,0.5024669570097711,0.15369685623537022,0.014232972303694469,0.9027249722123301,0.38896296439439926
せ,0.7972232620366126,0.6294851572283202,0.7383573254099947,0.8307481458055732,0.7416686834295254
about,0.1284027134425978,0.07864608952497609,1.8151100622532113e-09,0.08679097072372288,0.9275533900486082
godly,0.6946319800000358,0.5561589009291505,0.6591932338580806,0.7808939336847873,0.7770570632927181
sci-fi,0.8985444816071406,0.22666816226834996,0.0012312721791867265,0.7839025380459215,0.6096845684246586
gainesville,0.6050636976151678,0.6227954830199041,0.9405449471471521,0.6469742678039712,0.6470586055055996
bustle,0.8252584298102006,0.7324462081906176,0.8255288320138388,0.8585253543985509,0.8854737083582722
sharepoint,0.5069706443881288,0.6202831311131123,0.045024769691980104,0.7101573483135217,0.908501125545429
got,0.03477595405292511,0.0749002528607623,0.0220775915999043,0.8404904760888363,0.48062540140210386
engagement,0.037629910756627805,0.010961611757430267,0.06366402379066849,0.4225830074205519,0.2237936098853328
savior,0.40201786391847194,0.319286552520599,0.8136672426796256,0.4745908613725247,0.5233968483558469
materials,0.5463595045470495,0.6601646801746452,0.24297402761558784,0.7208682582246004,0.7136279541200992
feels,0.5617361175031514,0.6801387084262487,0.8258549079574418,0.7099316413735421,0.743701519895418
ѕ,0.22671698463319312,0.17043511998221517,0.09749397830667128,0.10774161502185908,0.3987994596351958
hardstyle,0.9058645800943417,0.8740127181512396,0.6590771150561285,0.8150195834841543,0.8895275280771107
aesthetic,0.7807945976019843,0.7175759471694325,0.9654785339910501,0.871056242467525,0.7955890718664533
ova,0.8600567690675536,0.9765218486450316,0.47539361080249787,0.9662749410028113,0.9781846275287149
sack,0.8507000707123424,0.8395752800206031,0.9790951017532254,0.9830482232332953,0.9125300033211567
multi,0.46789892026457736,0.4607645359165278,0.9091537789318167,0.46565098280741135,0.8964672767931634
bender,0.99737295107424,0.978066202751301,0.9439239869003633,0.957160100434425,0.9783188685593278
blocked,0.5855491763712686,0.44671264721473736,0.7582722051730499,0.7412762449707924,0.14711341449777748
bri,0.7088498795896174,0.6805581475608025,0.818217406037616,0.7606898072250008,0.941993485269744
glenn,0.8506766685597242,0.9729458998504061,0.7231827808474021,0.8680803098275724,0.8364496897293943
8teen,0.8335894601889668,0.5426685369769679,0.7204478347311478,0.4450532241517382,0.7384835222119999
evidence-based,0.835380430949471,0.8387714364152927,0.42113975691602423,0.9355744446538894,0.9750398326267711
tengo,0.38818923202220135,0.8224285974279104,0.7388556212556021,0.34560376598964204,0.8734464282854655
placement,0.6459232232220913,0.27246090032875525,0.8717930635892761,0.7471209259038636,0.5989022079484274
spicy,0.9704979765856598,0.9148792879076524,0.9697501265720767,0.8232809042036575,0.7843292777051332
worshipper,0.49326977263474214,0.4181884089462953,0.5215895341016683,0.8765021419384811,0.8493914889242313
trekkie,0.9990499916985205,0.6125340450956356,0.25966575799395053,0.9751153330844946,0.8209912297612545
neva,0.785566635238788,0.9849307862187278,0.51015953863053,0.9279777220232148,0.9821336065841049
grandsons,0.6025693404078956,0.6958531910884265,0.8399020818985643,0.8451235349019828,0.8419569162625578
santiago,0.8574735325888088,0.9088737531705919,0.8470600823556653,0.774403190318737,0.942098319544042
hypnotherapist,0.6873862497649037,0.4799751223481896,0.3153148637028731,0.92245977666107,0.9668225537048301
irvine,0.6552793386927167,0.7209517063509554,0.797296836437202,0.8583007337986504,0.7193233078436512
un,0.044270680002546525,0.914440138953382,0.7773618305412597,0.29045226029451165,0.6736585169730245
persistent,0.9731881597456415,0.8049706179399485,0.7703633042007212,0.8844022861434679,0.911840316041465
610,0.8430479022489306,0.7415222958939194,0.7224975066999186,0.7335701754248802,0.8214766470047241
astrophysics,0.9640988985478747,0.8118008141632942,0.44906296498178433,0.9779926597672917,0.8418525179279424
maximize,0.623398640454865,0.4297394236164451,0.511957377553687,0.5713076300914464,0.47349625412413543
elsewhere,0.8668531373283013,0.7495264463591351,0.43928227546556187,0.8862210235406194,0.8580777304893306
pew,0.7153435600483862,0.719853743947358,0.9753670630188911,0.9960822617324527,0.9264998210349538
thinkers,0.5048924576242153,0.5466915419722469,0.607951134439644,0.7866225709844858,0.7265759031247181
apex,0.6924061947755593,0.7317027087687382,0.7909385164107663,0.3863295832598863,0.7676785881431607
battlefield,0.8129383250280735,0.6885074252708909,0.6552153530079081,0.7665514043577908,0.9545937692455693
panther,0.5893316427418447,0.615365020599,0.7796782327856544,0.7159463242085757,0.6031623418634646
